Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Steven Defour,be BEL,MF,Burnley,29,1988,22.2,865,1062,81.5,15646,4797,365,412,88.6,389,443,87.8,93,161,57.8,1,1.1,1.5,-0.1,19,89,25,10,117,33,21.7,12,18,3,10,46,36,35,7,28,46,79,25,0,Matches,1062,1038,17,11,2,10,35,4,2,1,0,0,865,7,11,6,0,0,13,7,0,35,46,22,0,0,0,156,5,12,29.4,England
Sullay Kaikai,sl SLE,MF,Crystal Palace,21,1995,0.2,4,8,50.0,60,18,3,4,75.0,0,3,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,1,,0,1,0,0,0,0,1,0,1,0,1,1,0,Matches,8,5,3,1,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0,England
Séamus Coleman,ie IRL,DF,Everton,28,1988,11.5,369,516,71.5,5449,2296,217,252,86.1,121,178,68.0,18,55,32.7,1,0.7,0.5,+0.3,7,30,7,1,44,14,54.5,9,3,2,6,11,5,16,12,4,10,24,29,2,Matches,516,384,129,1,0,1,28,128,0,0,0,0,369,3,16,0,0,0,3,13,0,28,10,14,0,0,0,53,14,11,56.0,England
Tammy Abraham,eng ENG,FW,Swansea City,19,1997,19.2,206,314,65.6,2754,557,123,173,71.1,56,89,62.9,10,22,45.5,1,1.6,0.8,-0.6,12,16,6,2,20,10,7.7,1,7,2,1,13,12,8,1,7,1,11,11,0,Matches,314,286,28,0,2,1,13,1,0,0,0,0,206,0,6,0,0,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2,England
Terence Kongolo,nl NED,DF,Huddersfield,23,1994,11.7,263,390,67.4,4459,2277,128,157,81.5,110,154,71.4,17,51,33.3,0,0.1,0.3,-0.1,3,32,3,2,36,33,63.6,19,13,1,14,22,8,12,6,6,32,65,71,0,Matches,390,314,73,7,0,1,10,66,0,0,0,0,263,3,12,0,0,0,5,10,0,10,32,20,0,0,0,50,27,13,67.5,England
Theo Walcott,eng ENG,"FW,MF",Arsenal,28,1989,0.8,15,23,65.2,211,45,11,15,73.3,3,6,50.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2,1,,1,0,0,0,0,0,0,0,0,1,2,0,0,Matches,23,22,1,0,0,0,3,1,0,0,0,0,15,0,1,0,0,0,1,0,5,3,1,0,0,0,0,1,0,2,0.0,England
Theo Walcott,eng ENG,FW,Everton,28,1989,12.8,246,355,69.3,3593,1094,130,158,82.3,78,122,63.9,20,36,55.6,3,2.4,1.4,+0.6,14,17,17,9,33,27,46.7,12,13,2,7,15,8,9,0,9,8,35,12,0,Matches,355,325,29,1,0,2,45,2,3,0,1,0,246,1,15,2,0,0,6,28,7,45,8,19,0,0,0,75,7,17,29.2,England
Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35.0,903,1202,75.1,25829,17424,105,106,99.1,514,519,99.0,279,564,49.5,0,0.0,0.0,0.0,0,14,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,8,1,Matches,1202,897,300,52,0,0,0,0,0,0,0,0,903,5,1,2,0,0,2,3,0,0,0,0,0,2,0,37,2,1,66.7,England
Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,957,1116,85.8,14377,3737,511,571,89.5,326,377,86.5,58,76,76.3,2,1.2,0.9,+0.8,16,88,9,1,123,64,33.3,25,32,7,16,48,32,23,6,17,37,101,38,4,Matches,1116,1104,9,8,0,13,5,1,0,0,0,0,957,3,9,5,1,1,50,24,2,5,37,41,0,0,0,169,40,34,54.1,England
Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,19,1998,17.7,536,746,71.8,9128,4060,254,294,86.4,220,290,75.9,47,132,35.6,0,0.3,0.4,-0.3,6,53,9,4,56,42,61.8,33,8,1,21,34,13,17,9,8,31,73,74,1,Matches,746,621,122,8,0,4,17,114,0,0,0,0,536,3,13,2,0,0,18,13,0,17,31,33,0,0,0,97,19,22,46.3,England
Toby Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,793,931,85.2,18331,6712,176,188,93.6,459,496,92.5,153,236,64.8,0,0.1,0.4,-0.1,3,102,7,1,109,19,53.3,7,11,1,8,15,7,11,5,6,4,23,55,0,Matches,931,901,30,21,1,31,7,9,0,0,0,0,793,0,4,3,0,0,8,1,0,7,4,13,0,0,0,57,14,29,32.6,England
Tom Carroll,eng ENG,MF,Swansea City,25,1992,28.6,1235,1577,78.3,21581,7289,575,640,89.8,472,566,83.4,147,283,51.9,4,4.1,4.1,-0.1,47,161,31,8,179,53,26.4,22,23,8,14,53,39,37,8,29,29,82,18,1,Matches,1577,1430,144,62,3,10,129,1,70,42,20,1,1235,3,32,3,0,0,23,17,1,129,29,33,0,0,0,139,10,21,32.3,England
Tom Cleverley,eng ENG,MF,Watford,27,1989,21.1,964,1238,77.9,15750,4846,481,542,88.7,346,419,82.6,89,181,49.2,2,1.6,1.8,+0.4,29,132,17,2,136,48,40.4,25,16,7,21,52,31,11,1,10,25,73,21,0,Matches,1238,1092,136,44,2,7,82,9,47,26,12,0,964,10,26,3,1,1,33,26,1,82,25,26,0,0,0,151,24,42,36.4,England
Tom Davies,eng ENG,MF,Everton,19,1998,21.1,547,715,76.5,8064,2003,298,347,85.9,174,223,78.0,33,67,49.3,1,0.6,1.0,+0.4,10,45,13,1,62,30,22.2,14,11,5,12,54,42,19,5,14,24,54,21,0,Matches,715,681,30,8,1,3,17,3,10,4,4,0,547,4,19,7,0,0,38,43,3,17,24,20,0,0,0,110,18,34,34.6,England
Tom Edwards,eng ENG,"DF,MF",Stoke City,18,1999,5.3,151,217,69.6,2619,1196,73,79,92.4,55,71,77.5,17,51,33.3,0,0.4,0.3,-0.4,1,9,3,2,11,15,100.0,10,5,0,8,8,0,5,2,3,5,20,20,0,Matches,217,176,40,1,0,1,15,39,0,0,0,0,151,1,4,0,0,0,3,2,0,15,5,9,0,0,0,29,8,6,57.1,England
Tom Heaton,eng ENG,GK,Burnley,31,1986,3.4,70,120,58.3,2857,2413,3,3,100.0,26,26,100.0,41,87,47.1,0,0.0,0.0,0.0,0,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,120,57,59,27,0,0,0,0,0,0,0,0,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,England
Tom Ince,eng ENG,"MF,FW",Huddersfield,25,1992,27.2,572,763,75.0,8640,1728,317,361,87.8,198,235,84.3,34,96,35.4,0,1.4,1.2,-1.4,18,27,14,7,60,35,34.5,14,16,5,10,29,19,20,0,20,12,47,12,0,Matches,763,682,77,4,2,4,59,15,36,26,4,1,572,4,28,0,0,0,22,36,10,59,12,27,0,0,0,136,16,43,27.1,England
Tomer Hemed,il ISR,FW,Brighton,30,1987,9.4,146,237,61.6,1717,278,96,136,70.6,35,65,53.8,2,4,50.0,2,0.1,0.1,+1.9,3,8,1,0,13,7,20.0,3,4,0,2,10,8,10,1,9,2,9,12,0,Matches,237,227,8,0,0,0,1,0,0,0,0,0,146,2,5,0,0,0,10,13,7,1,2,5,0,0,0,22,66,85,43.7,England
Tommy Smith,eng ENG,DF,Huddersfield,25,1992,21.2,773,1118,69.1,12945,4931,374,431,86.8,315,445,70.8,70,189,37.0,1,1.8,1.8,-0.8,15,45,19,12,56,38,63.9,18,14,6,23,36,13,22,6,16,26,64,80,3,Matches,1118,835,280,21,1,1,64,259,0,0,0,0,773,3,29,7,0,0,20,18,3,64,26,27,0,1,0,109,18,15,54.5,England
Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,963,1309,73.6,17689,5965,408,458,89.1,418,546,76.6,117,243,48.1,1,2.6,1.7,-1.6,25,76,25,6,94,37,61.1,23,9,5,22,36,14,20,5,15,28,65,46,1,Matches,1309,1083,222,15,3,11,102,196,11,7,3,1,963,4,39,3,0,0,12,1,3,102,28,25,0,0,0,133,5,17,22.7,England
Troy Deeney,eng ENG,FW,Watford,29,1988,20.5,309,552,56.0,4094,1303,207,330,62.7,69,127,54.3,15,29,51.7,2,2.8,2.0,-0.8,26,46,21,1,71,15,27.3,3,8,4,3,11,8,14,1,13,5,20,20,0,Matches,552,543,7,1,1,2,7,1,0,0,0,0,309,2,20,1,1,0,24,17,16,7,5,11,0,0,0,52,132,182,42.0,England
Tyrese Campbell,eng ENG,FW,Stoke City,17,1999,0.9,10,20,50.0,129,47,6,12,50.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,1,3,0,4,2,100.0,0,2,0,1,1,0,1,1,0,1,3,0,0,Matches,20,19,1,0,0,0,3,0,0,0,0,0,10,0,1,0,0,0,0,0,1,3,1,1,0,0,0,1,2,4,33.3,England
Tyrone Mings,eng ENG,DF,Bournemouth,24,1993,2.2,91,116,78.4,1830,798,29,36,80.6,48,51,94.1,13,26,50.0,0,0.1,0.1,-0.1,1,4,2,1,8,1,,1,0,0,0,0,0,2,2,0,6,7,13,1,Matches,116,111,5,3,0,2,1,2,0,0,0,0,91,0,2,1,0,0,2,1,0,1,6,1,0,0,0,14,2,2,50.0,England
Uwe Hünemeier,de GER,DF,Brighton,31,1986,0.2,1,4,25.0,38,0,0,0,,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,0,Matches,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,England
Vicente Iborra,es ESP,MF,Leicester City,29,1988,15.7,698,860,81.2,11864,3247,320,393,81.4,271,317,85.5,70,94,74.5,0,0.5,1.1,-0.5,8,54,5,0,79,23,25.0,13,10,0,9,36,27,25,11,14,19,42,49,1,Matches,860,842,17,10,2,8,1,1,0,0,0,0,698,1,10,0,0,0,19,18,2,1,19,18,0,0,0,127,32,34,48.5,England
Victor Lindelöf,se SWE,DF,Manchester Utd,23,1994,14.3,707,780,90.6,11923,4239,310,328,94.5,328,361,90.9,52,66,78.8,0,0.3,0.3,-0.3,2,33,1,0,42,17,64.3,10,6,1,9,14,5,15,11,4,13,30,67,1,Matches,780,738,41,14,0,3,1,27,0,0,0,0,707,1,4,1,0,0,10,9,0,1,13,11,0,0,0,94,21,24,46.7,England
