Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Bastos,ao ANG,DF,Lazio,26,1991,15.6,782,859,91.0,14089,4078,321,334,96.1,385,412,93.4,67,99,67.7,0,0.2,0.2,-0.2,4,37,2,0,57,33,63.3,19,13,1,19,30,11,13,8,5,24,57,67,0,Matches,859,831,28,20,0,5,0,7,0,0,0,0,782,0,6,4,0,0,13,4,0,0,24,24,0,2,0,102,20,18,52.6,Italy
Benedikt Höwedes,de GER,DF,Juventus,29,1988,2.7,201,216,93.1,3617,1207,74,76,97.4,115,118,97.5,11,20,55.0,0,0.1,0.1,-0.1,2,8,2,2,13,1,,1,0,0,0,0,0,0,0,0,8,9,10,1,Matches,216,208,8,3,0,1,2,5,0,0,0,0,201,0,0,1,0,0,3,2,0,2,8,1,0,0,0,11,2,3,40.0,Italy
Berat Djimsiti,al ALB,DF,Benevento,24,1993,30.0,1423,1618,87.9,27772,10280,470,513,91.6,768,830,92.5,168,233,72.1,1,0.6,0.5,+0.4,3,64,2,0,90,32,40.0,28,4,0,12,30,18,37,23,14,62,94,178,1,Matches,1618,1542,73,62,0,17,1,11,0,0,0,0,1423,3,8,2,0,0,24,22,0,1,62,17,0,3,0,164,60,32,65.2,Italy
Blaise Matuidi,fr FRA,MF,Juventus,30,1987,26.2,1247,1387,89.9,19550,4859,622,658,94.5,487,538,90.5,81,97,83.5,1,0.9,0.9,+0.1,17,123,11,2,141,49,28.6,14,25,10,10,35,25,28,4,24,32,81,22,1,Matches,1387,1357,24,18,1,6,23,6,0,0,0,0,1247,6,20,3,0,0,48,24,4,23,32,35,0,0,0,106,33,40,45.2,Italy
Blerim Džemaili,ch SUI,"MF,FW",Bologna,31,1986,13.3,383,494,77.5,6045,1708,200,242,82.6,139,161,86.3,29,51,56.9,0,0.6,0.9,-0.6,11,40,18,0,62,27,33.3,11,15,1,9,27,18,15,4,11,18,45,11,0,Matches,494,464,27,14,3,5,10,9,0,0,0,0,383,3,19,4,0,0,13,19,1,10,18,19,0,0,0,69,9,6,60.0,Italy
Borja Valero,es ESP,MF,Inter,32,1985,28.5,1856,2058,90.2,29992,7777,973,1031,94.4,627,683,91.8,180,223,80.7,0,1.8,1.7,-1.8,35,206,21,1,236,46,34.5,17,25,4,20,58,38,15,4,11,18,64,41,1,Matches,2058,1989,59,36,7,17,23,13,10,1,1,0,1856,10,26,3,0,0,27,39,0,23,18,31,0,0,0,189,9,26,25.7,Italy
Boukary Dramé,sn SEN,"DF,MF",SPAL,32,1985,1.1,45,57,78.9,708,232,20,21,95.2,20,24,83.3,2,8,25.0,0,0.0,0.0,0.0,0,1,1,0,3,1,,1,0,0,0,0,0,0,0,0,2,3,4,0,Matches,57,47,10,1,0,0,2,9,0,0,0,0,45,0,1,0,0,0,0,1,0,2,2,1,0,0,0,9,2,0,100.0,Italy
Boštjan Cesar,si SVN,DF,Chievo,35,1982,6.1,197,239,82.4,4073,1759,61,65,93.8,103,125,82.4,31,46,67.4,0,0.0,0.0,0.0,0,10,0,0,20,4,75.0,3,1,0,3,4,1,6,4,2,3,7,40,0,Matches,239,226,13,12,0,1,0,1,0,0,0,0,197,0,1,1,0,0,5,7,0,0,3,3,0,0,2,22,13,14,48.1,Italy
Bram Nuytinck,nl NED,DF,Udinese,27,1990,26.2,1062,1251,84.9,21525,7599,328,357,91.9,583,651,89.6,139,210,66.2,1,0.5,0.5,+0.5,3,68,4,0,78,65,64.1,40,24,1,25,39,14,43,24,19,37,102,124,1,Matches,1251,1180,70,48,1,15,3,22,0,0,0,0,1062,1,9,2,0,0,28,5,0,3,37,41,0,0,0,101,53,33,61.6,Italy
Bright Gyamfi,gh GHA,DF,Benevento,21,1996,3.6,142,181,78.5,2043,712,88,97,90.7,49,66,74.2,3,8,37.5,0,0.0,0.2,0.0,1,6,3,2,8,2,50.0,1,1,0,1,2,1,3,1,2,7,9,8,0,Matches,181,153,27,2,0,0,11,25,0,0,0,0,142,1,6,1,0,0,6,1,0,11,7,2,0,0,0,17,4,7,36.4,Italy
