Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Rúben Vezo,pt POR,DF,Valencia,23,1994,17.3,630,825,76.4,11175,4877,261,301,86.7,305,378,80.7,52,103,50.5,0,0.2,0.4,-0.2,3,35,5,1,50,43,50.0,30,12,1,16,32,16,25,9,16,23,66,83,0,Matches,825,716,106,14,0,5,15,92,0,0,0,0,630,3,22,2,1,1,23,13,1,15,23,24,0,0,0,94,39,14,73.6,Spain
Sabin Merino,es ESP,"FW,MF",Athletic Club,25,1992,4.2,61,93,65.6,786,156,40,52,76.9,15,27,55.6,2,3,66.7,0,0.1,0.1,-0.1,2,4,1,0,7,7,37.5,2,3,2,3,8,5,6,2,4,1,8,10,0,Matches,93,91,2,0,0,0,4,0,0,0,0,0,61,0,4,1,0,0,7,6,2,4,1,3,1,0,0,25,12,13,48.0,Spain
Salem Al-Dawsari,sa KSA,MF,Villarreal,25,1991,0.4,15,17,88.2,221,36,10,10,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,1,100.0,0,1,0,1,1,0,1,0,1,0,1,0,0,Matches,17,17,0,0,0,0,0,0,0,0,0,0,15,0,1,1,0,0,1,1,1,0,0,0,0,0,0,7,0,0,,Spain
Samu Castillejo,es ESP,"MF,FW",Villarreal,22,1995,23.0,763,996,76.6,13006,3436,380,434,87.6,277,338,82.0,81,156,51.9,5,4.4,4.0,+0.6,43,58,32,8,111,41,21.0,22,10,9,13,62,49,39,5,34,22,63,37,0,Matches,996,875,111,34,7,15,97,4,73,32,13,0,763,10,26,4,0,0,42,66,7,97,22,28,2,0,0,121,15,41,26.8,Spain
Samu García,es ESP,"FW,MF",Levante,27,1990,2.1,40,70,57.1,490,111,28,40,70.0,7,13,53.8,2,2,100.0,0,0.2,0.1,-0.2,3,6,1,1,3,9,40.0,1,6,2,2,5,3,3,0,3,1,10,2,0,Matches,70,66,0,0,1,0,4,0,0,0,0,0,40,4,7,1,0,0,11,2,0,4,1,7,0,0,0,7,2,6,25.0,Spain
Samu García,es ESP,MF,Málaga,27,1990,2.0,29,48,60.4,350,88,19,27,70.4,8,12,66.7,0,4,0.0,1,0.1,0.1,+0.9,1,1,1,1,3,8,30.0,4,3,1,3,10,7,4,0,4,6,14,3,0,Matches,48,47,0,0,0,1,8,0,0,0,0,0,29,1,2,1,1,0,11,4,1,8,6,6,0,0,0,11,2,3,40.0,Spain
Samuel Umtiti,fr FRA,DF,Barcelona,23,1993,24.3,1483,1628,91.1,26965,9644,587,622,94.4,736,778,94.6,143,189,75.7,0,0.1,0.3,-0.1,1,115,1,0,112,50,69.0,35,15,0,20,29,9,25,17,8,37,87,72,3,Matches,1628,1570,56,48,0,9,0,8,0,0,0,0,1483,2,13,7,0,0,22,25,4,0,37,35,0,0,0,141,47,19,71.2,Spain
Sandro Ramírez,es ESP,"FW,MF",Sevilla,22,1995,8.0,198,259,76.4,2736,532,123,140,87.9,58,76,76.3,8,25,32.0,1,1.7,0.9,-0.7,9,5,8,0,19,8,14.3,1,5,2,1,7,6,2,0,2,4,12,2,0,Matches,259,243,16,0,1,2,18,3,10,9,1,0,198,0,7,0,0,0,17,22,5,18,4,8,1,0,0,25,4,9,30.8,Spain
Santi Mina,es ESP,FW,Valencia,21,1995,17.3,367,475,77.3,4992,872,235,288,81.6,86,116,74.1,22,33,66.7,2,1.6,1.6,+0.4,10,27,6,1,34,17,18.2,4,9,4,4,22,18,14,1,13,2,19,19,0,Matches,475,449,26,4,2,3,6,3,0,0,0,0,367,0,5,4,0,0,24,36,11,6,2,9,1,0,0,50,35,54,39.3,Spain
Saúl Ñíguez,es ESP,MF,Atlético Madrid,22,1994,35.1,1420,1750,81.1,21740,7111,802,910,88.1,464,580,80.0,102,154,66.2,3,2.8,1.9,+0.2,21,164,18,1,188,132,38.5,53,69,10,40,104,64,61,12,49,55,187,77,0,Matches,1750,1699,39,6,4,11,19,29,0,0,0,0,1420,12,27,9,0,0,67,35,5,19,55,90,1,0,0,237,75,97,43.6,Spain
