Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Jérémy Blayac,fr FRA,FW,Strasbourg,34,1983,10.2,228,361,63.2,2896,554,135,204,66.2,65,95,68.4,6,12,50.0,1,1.7,1.4,-0.7,17,18,6,1,25,5,22.2,0,3,2,2,9,7,7,2,5,1,6,11,0,Matches,361,352,8,0,1,1,9,0,0,0,0,0,228,1,13,2,0,0,8,23,16,9,1,3,1,0,0,36,93,58,61.6,France
Jérémy Cordoval,gp GLP,DF,Troyes,27,1990,10.2,337,432,78.0,4858,2324,199,231,86.1,103,127,81.1,18,41,43.9,1,0.5,0.6,+0.5,3,21,5,3,33,20,64.3,12,7,1,9,14,5,12,2,10,9,29,35,0,Matches,432,312,119,5,0,0,16,114,0,0,0,0,337,1,9,1,0,0,4,8,0,16,9,16,0,0,0,53,4,11,26.7,France
Jérémy Grimm,fr FRA,MF,Strasbourg,30,1987,9.0,277,351,78.9,4858,1612,127,148,85.8,112,134,83.6,31,50,62.0,0,0.2,0.3,-0.2,5,26,5,1,36,23,37.5,15,6,2,9,24,15,11,3,8,19,42,31,1,Matches,351,347,2,2,3,2,7,0,0,0,0,0,277,2,4,3,0,0,19,14,0,7,19,17,0,0,0,54,27,8,77.1,France
Jérémy Gélin,fr FRA,"DF,MF",Rennes,20,1997,25.7,1164,1391,83.7,25989,9504,293,323,90.7,622,683,91.1,231,347,66.6,2,0.6,0.9,+1.4,13,123,8,0,139,37,37.7,22,14,1,20,53,33,22,12,10,37,74,92,3,Matches,1391,1347,40,38,3,33,3,2,0,0,0,0,1164,4,11,2,0,0,33,16,1,3,37,18,0,0,0,151,40,32,55.6,France
Jérémy Morel,mg MAD,DF,Lyon,33,1984,32.4,1788,1974,90.6,35362,14897,567,603,94.0,997,1055,94.5,206,270,76.3,0,0.1,0.3,-0.1,2,89,1,0,113,39,78.3,23,15,1,18,23,5,28,23,5,46,85,129,5,Matches,1974,1899,70,64,2,7,0,6,0,0,0,0,1788,5,16,4,0,0,26,23,1,0,46,27,0,2,1,179,55,33,62.5,France
Jérémy Sorbon,fr FRA,DF,Guingamp,33,1983,29.0,954,1110,85.9,19863,7051,291,321,90.7,470,528,89.0,174,224,77.7,0,0.6,0.2,-0.6,5,40,1,0,60,32,31.3,24,7,1,10,32,22,37,24,13,53,85,152,4,Matches,1110,1046,59,58,0,12,0,1,0,0,0,0,954,5,5,1,0,0,18,16,1,0,53,19,0,0,0,155,38,21,64.4,France
Jérémy Toulalan,fr FRA,DF,Bordeaux,33,1983,21.0,889,1051,84.6,17997,8242,324,342,94.7,428,473,90.5,125,212,59.0,0,0.1,0.2,-0.1,2,68,1,1,91,43,43.6,35,7,1,17,39,22,25,16,9,28,71,121,0,Matches,1051,1004,43,42,1,25,3,1,0,0,0,0,889,4,5,4,0,0,21,15,0,3,28,25,0,1,1,147,24,25,49.0,France
Jérôme Prior,fr FRA,GK,Bordeaux,21,1995,2.0,23,37,62.2,789,680,1,1,100.0,11,11,100.0,11,25,44.0,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,2,Matches,37,24,13,1,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,France
Jérôme Roussillon,fr FRA,DF,Montpellier,24,1993,20.9,762,1015,75.1,12107,5429,425,482,88.2,259,335,77.3,58,122,47.5,3,3.8,3.4,-0.8,27,49,22,14,80,40,57.7,17,19,4,15,26,11,26,3,23,15,55,52,0,Matches,1015,770,241,25,1,9,94,205,11,2,8,0,762,4,45,2,0,0,10,28,5,94,15,27,0,0,0,106,11,16,40.7,France
Júlio Tavares,cv CPV,FW,Dijon,28,1988,22.8,324,544,59.6,4309,809,201,301,66.8,94,158,59.5,11,23,47.8,2,1.9,1.5,+0.1,26,19,17,3,32,3,9.1,1,1,1,1,11,10,11,6,5,3,6,36,0,Matches,544,505,37,0,0,1,14,6,0,0,0,0,324,2,19,3,0,0,28,28,14,14,3,1,0,0,0,43,164,144,53.2,France
