Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%
Toby Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,793,931,85.2,18331,6712,176,188,93.6,459,496,92.5,153,236,64.8,0,0.1,0.4,-0.1,3,102,7,1,109,19,53.3,7,11,1,8,15,7,11,5,6,4,23,55,0,Matches,931,901,30,21,1,31,7,9,0,0,0,0,793,0,4,3,0,0,8,1,0,7,4,13,0,0,0,57,14,29,32.6
Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,963,1309,73.6,17689,5965,408,458,89.1,418,546,76.6,117,243,48.1,1,2.6,1.7,-1.6,25,76,25,6,94,37,61.1,23,9,5,22,36,14,20,5,15,28,65,46,1,Matches,1309,1083,222,15,3,11,102,196,11,7,3,1,963,4,39,3,0,0,12,1,3,102,28,25,0,0,0,133,5,17,22.7
Joe Allen,wls WAL,MF,Stoke City,27,1990,34.9,1114,1403,79.4,17666,5350,547,620,88.2,437,531,82.3,75,128,58.6,6,2.8,2.6,+3.2,31,116,26,4,165,96,31.0,41,43,12,27,87,60,43,9,34,58,154,68,1,Matches,1403,1360,37,17,3,3,37,2,9,3,1,4,1114,6,39,8,0,0,49,49,0,37,58,62,0,0,0,244,36,59,37.9
Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,32.9,985,1295,76.1,15174,4014,541,647,83.6,342,414,82.6,63,109,57.8,10,8.2,5.2,+1.8,63,104,55,1,181,46,23.5,15,21,10,8,34,26,33,7,26,19,65,22,1,Matches,1295,1249,37,12,15,8,18,17,4,0,0,0,985,9,39,7,0,0,43,84,5,18,19,30,1,0,0,181,28,49,36.4
Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,31.7,1333,1721,77.5,21762,6115,656,751,87.4,555,665,83.5,86,176,48.9,2,2.8,2.2,-0.8,34,55,26,11,103,51,52.3,30,18,3,23,44,21,36,5,31,47,98,76,1,Matches,1721,1424,288,19,0,10,96,269,0,0,0,0,1333,9,72,6,0,0,26,31,8,96,47,33,0,0,0,193,59,52,53.2
Daniel Amartey,gh GHA,DF,Leicester City,22,1994,5.4,239,310,77.1,3859,1555,129,142,90.8,83,109,76.1,20,45,44.4,0,0.0,0.1,0.0,0,14,0,0,14,8,42.9,7,1,0,3,7,4,7,3,4,7,15,21,1,Matches,310,249,61,1,0,2,0,60,0,0,0,0,239,0,1,2,1,1,5,7,0,0,7,4,0,0,0,30,10,7,58.8
Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,0.1,19,19,100.0,391,149,5,5,100.0,13,13,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,1,,0,1,0,0,0,0,0,0,0,0,1,2,0,Matches,19,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,33.3
Nordin Amrabat,ma MAR,FW,Watford,30,1987,2.2,44,78,56.4,585,190,29,36,80.6,9,21,42.9,4,9,44.4,0,0.1,0.2,-0.1,3,4,3,2,7,6,33.3,1,5,0,1,3,2,1,0,1,0,6,2,0,Matches,78,75,2,0,0,1,9,2,0,0,0,0,44,1,5,0,0,0,6,2,2,9,0,3,0,0,0,8,3,6,33.3
Michail Antonio,jm JAM,"FW,MF",West Ham,27,1990,15.0,296,494,59.9,5256,1567,151,210,71.9,90,147,61.2,42,91,46.2,1,1.0,0.9,0.0,14,20,15,11,29,15,28.6,7,6,2,4,14,10,14,0,14,13,28,16,0,Matches,494,437,49,3,3,8,55,46,0,0,0,0,296,8,25,1,0,0,17,30,7,55,13,9,1,0,0,71,43,53,44.8
Scott Arfield,ca CAN,"MF,FW",Burnley,28,1988,14.8,247,367,67.3,3441,942,150,198,75.8,75,103,72.8,9,25,36.0,1,0.4,0.4,+0.6,7,25,6,1,32,36,43.2,20,13,3,19,44,25,22,1,21,11,47,24,0,Matches,367,357,5,0,1,1,8,1,1,0,1,0,247,5,16,3,0,0,21,14,1,8,11,26,0,0,0,83,11,30,26.8
Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,25.7,505,757,66.7,6653,1499,312,399,78.2,138,220,62.7,18,58,31.0,6,4.3,4.2,+1.7,35,26,17,4,52,21,36.8,9,8,4,7,19,12,20,3,17,13,34,35,0,Matches,757,722,34,11,9,2,61,11,3,1,2,0,505,1,39,5,1,0,35,29,43,61,13,16,0,0,0,103,22,39,36.1
Harry Arter,ie IRL,MF,Bournemouth,27,1989,10.7,513,592,86.7,9905,2945,175,194,90.2,275,300,91.7,58,88,65.9,0,0.2,0.4,-0.2,3,69,6,0,68,19,26.1,10,7,2,6,23,17,18,5,13,9,28,6,0,Matches,592,563,29,27,1,6,5,1,1,1,0,0,513,0,6,4,0,0,9,15,0,5,9,16,0,0,0,66,6,2,75.0
Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,25,1992,19.8,359,513,70.0,4775,1436,220,256,85.9,95,148,64.2,14,38,36.8,2,2.6,2.0,-0.6,25,21,16,3,47,17,35.0,10,7,0,7,20,13,35,5,30,13,30,27,1,Matches,513,497,15,4,1,1,57,7,4,1,2,0,359,1,37,1,0,0,10,26,6,57,13,16,0,0,0,107,13,68,16.0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,225,337,66.8,2707,423,157,192,81.8,47,82,57.3,5,20,25.0,4,1.1,1.3,+2.9,13,10,5,2,9,5,14.3,3,2,0,1,7,6,14,1,13,3,8,7,0,Matches,337,312,24,0,1,1,16,3,0,0,0,0,225,1,14,0,0,0,1,8,10,16,3,4,0,0,0,29,8,28,22.2
Serge Aurier,ci CIV,DF,Tottenham,24,1992,15.9,779,1035,75.3,12584,4253,398,474,84.0,322,419,76.8,49,98,50.0,2,2.6,1.3,-0.6,14,37,25,6,67,48,35.5,27,13,8,11,31,20,20,1,19,31,79,54,1,Matches,1035,837,194,7,1,2,68,187,0,0,0,0,779,4,35,3,1,1,21,16,2,68,31,27,0,1,0,89,48,29,62.3
Charlie Austin,eng ENG,FW,Southampton,28,1989,11.5,168,250,67.2,2313,403,98,126,77.8,48,67,71.6,10,21,47.6,0,0.8,0.7,-0.8,4,20,0,0,18,7,30.0,1,3,3,3,10,7,15,3,12,1,8,10,0,Matches,250,241,6,0,1,0,2,1,0,0,0,0,168,3,8,2,0,0,16,16,14,2,1,5,0,0,0,29,38,71,34.9
André Ayew,gh GHA,"MF,FW",West Ham,27,1989,9.9,216,291,74.2,2721,532,142,160,88.8,57,77,74.0,5,15,33.3,2,0.3,0.3,+1.7,4,17,5,1,18,19,31.6,6,10,3,6,19,13,5,0,5,4,23,3,0,Matches,291,279,9,1,1,1,8,1,0,0,0,0,216,3,16,2,0,0,6,17,3,8,4,14,0,0,0,52,17,50,25.4
André Ayew,gh GHA,"MF,FW",West Ham,27,1989,9.9,216,291,74.2,2721,532,142,160,88.8,57,77,74.0,5,15,33.3,2,0.3,0.3,+1.7,4,17,5,1,18,19,31.6,6,10,3,6,19,13,5,0,5,4,23,3,0,Matches,291,279,9,1,1,1,8,1,0,0,0,0,216,3,16,3,0,0,18,19,3,8,5,10,1,0,0,41,28,48,36.8
