Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%
Kevin Kampl,si SVN,MF,RB Leipzig,26,1990,22.4,1033,1250,82.6,16321,5228,526,584,90.1,393,455,86.4,77,139,55.4,3,3.9,4.2,-0.9,51,111,26,5,152,42,41.0,16,20,6,16,39,23,37,2,35,33,75,33,0,Matches,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,3,0,0,30,21,7,80,33,33,0,0,0,155,9,16,36.0
Kevin Kampl,si SVN,MF,RB Leipzig,26,1990,22.4,1033,1250,82.6,16321,5228,526,584,90.1,393,455,86.4,77,139,55.4,3,3.9,4.2,-0.9,51,111,26,5,152,42,41.0,16,20,6,16,39,23,37,2,35,33,75,33,0,Matches,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0.0
Kevin Kampl,si SVN,MF,RB Leipzig,26,1990,22.4,1033,1250,82.6,16321,5228,526,584,90.1,393,455,86.4,77,139,55.4,3,3.9,4.2,-0.9,51,111,26,5,152,1,100.0,1,0,0,1,1,0,0,0,0,0,1,0,0,Matches,1250,1129,114,45,3,2,80,18,51,20,20,1,1033,7,27,3,0,0,30,21,7,80,33,33,0,0,0,155,9,16,36.0
Kevin Kampl,si SVN,MF,RB Leipzig,26,1990,22.4,1033,1250,82.6,16321,5228,526,584,90.1,393,455,86.4,77,139,55.4,3,3.9,4.2,-0.9,51,111,26,5,152,1,100.0,1,0,0,1,1,0,0,0,0,0,1,0,0,Matches,1250,1129,114,45,3,2,80,18,51,20,20,1,1033,7,27,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0.0
Kevin Kampl,si SVN,MF,RB Leipzig,26,1990,22.4,1033,1250,82.6,16321,5228,526,584,90.1,393,455,86.4,77,139,55.4,3,3.9,4.2,-0.9,51,111,26,5,152,1,100.0,1,0,0,1,1,0,0,0,0,0,1,0,0,Matches,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,3,0,0,30,21,7,80,33,33,0,0,0,155,9,16,36.0
Kevin Kampl,si SVN,MF,RB Leipzig,26,1990,22.4,1033,1250,82.6,16321,5228,526,584,90.1,393,455,86.4,77,139,55.4,3,3.9,4.2,-0.9,51,111,26,5,152,1,100.0,1,0,0,1,1,0,0,0,0,0,1,0,0,Matches,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0.0
Kevin Kampl,si SVN,MF,Leverkusen,26,1990,0.3,30,34,88.2,630,204,12,13,92.3,10,11,90.9,7,7,100.0,0,0.0,0.0,0.0,1,7,0,0,5,42,41.0,16,20,6,16,39,23,37,2,35,33,75,33,0,Matches,1250,1129,114,45,3,2,80,18,51,20,20,1,1033,7,27,3,0,0,30,21,7,80,33,33,0,0,0,155,9,16,36.0
Kevin Kampl,si SVN,MF,Leverkusen,26,1990,0.3,30,34,88.2,630,204,12,13,92.3,10,11,90.9,7,7,100.0,0,0.0,0.0,0.0,1,7,0,0,5,42,41.0,16,20,6,16,39,23,37,2,35,33,75,33,0,Matches,1250,1129,114,45,3,2,80,18,51,20,20,1,1033,7,27,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0.0
Kevin Kampl,si SVN,MF,Leverkusen,26,1990,0.3,30,34,88.2,630,204,12,13,92.3,10,11,90.9,7,7,100.0,0,0.0,0.0,0.0,1,7,0,0,5,42,41.0,16,20,6,16,39,23,37,2,35,33,75,33,0,Matches,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,3,0,0,30,21,7,80,33,33,0,0,0,155,9,16,36.0
Kevin Kampl,si SVN,MF,Leverkusen,26,1990,0.3,30,34,88.2,630,204,12,13,92.3,10,11,90.9,7,7,100.0,0,0.0,0.0,0.0,1,7,0,0,5,42,41.0,16,20,6,16,39,23,37,2,35,33,75,33,0,Matches,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0.0
Kevin Kampl,si SVN,MF,Leverkusen,26,1990,0.3,30,34,88.2,630,204,12,13,92.3,10,11,90.9,7,7,100.0,0,0.0,0.0,0.0,1,7,0,0,5,1,100.0,1,0,0,1,1,0,0,0,0,0,1,0,0,Matches,1250,1129,114,45,3,2,80,18,51,20,20,1,1033,7,27,3,0,0,30,21,7,80,33,33,0,0,0,155,9,16,36.0
Kevin Kampl,si SVN,MF,Leverkusen,26,1990,0.3,30,34,88.2,630,204,12,13,92.3,10,11,90.9,7,7,100.0,0,0.0,0.0,0.0,1,7,0,0,5,1,100.0,1,0,0,1,1,0,0,0,0,0,1,0,0,Matches,1250,1129,114,45,3,2,80,18,51,20,20,1,1033,7,27,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0.0
Kevin Kampl,si SVN,MF,Leverkusen,26,1990,0.3,30,34,88.2,630,204,12,13,92.3,10,11,90.9,7,7,100.0,0,0.0,0.0,0.0,1,7,0,0,5,1,100.0,1,0,0,1,1,0,0,0,0,0,1,0,0,Matches,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,3,0,0,30,21,7,80,33,33,0,0,0,155,9,16,36.0
Kevin Kampl,si SVN,MF,Leverkusen,26,1990,0.3,30,34,88.2,630,204,12,13,92.3,10,11,90.9,7,7,100.0,0,0.0,0.0,0.0,1,7,0,0,5,1,100.0,1,0,0,1,1,0,0,0,0,0,1,0,0,Matches,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0.0
Bartosz Kapustka,pl POL,"FW,MF",Freiburg,20,1996,2.6,37,74,50.0,529,124,21,32,65.6,12,24,50.0,1,7,14.3,0,0.0,0.0,0.0,0,4,0,0,3,9,66.7,2,6,1,4,6,2,4,0,4,3,12,0,0,Matches,74,74,0,0,0,1,5,0,0,0,0,0,37,0,9,0,0,0,4,3,2,5,3,5,0,0,0,8,4,10,28.6
Kenan Karaman,tr TUR,"MF,FW",Hannover 96,23,1994,9.5,197,269,73.2,3094,847,99,125,79.2,73,92,79.3,13,23,56.5,0,0.6,1.1,-0.6,7,12,7,3,31,16,85.7,9,6,1,6,7,1,10,4,6,1,17,17,0,Matches,269,266,1,0,0,1,13,0,1,0,1,0,197,2,10,2,0,0,11,18,1,13,1,13,0,0,0,38,12,18,40.0
Florian Kath,de GER,"FW,MF",Freiburg,22,1994,7.5,135,209,64.6,2281,620,67,87,77.0,47,65,72.3,16,33,48.5,0,0.3,0.4,-0.3,6,14,5,0,26,15,52.9,3,9,3,9,17,8,9,0,9,8,23,1,0,Matches,209,204,4,0,0,3,11,4,0,0,0,0,135,1,13,3,0,0,21,34,0,11,8,10,0,0,0,26,15,23,39.5
Ole Käuper,de GER,MF,Werder Bremen,20,1997,0.8,22,32,68.8,425,76,7,11,63.6,14,17,82.4,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0,2,6,25.0,2,4,0,1,4,3,1,0,1,2,8,0,0,Matches,32,32,0,0,0,0,0,0,0,0,0,0,22,0,2,1,0,0,6,0,0,0,2,5,0,0,0,4,1,1,50.0
Thilo Kehrer,de GER,DF,Schalke 04,20,1996,26.3,1018,1230,82.8,20010,7355,329,370,88.9,575,657,87.5,108,181,59.7,0,0.4,0.4,-0.4,11,65,0,0,96,81,67.6,41,36,4,46,68,22,42,12,30,35,116,113,2,Matches,1230,1170,56,27,0,11,3,29,0,0,0,0,1018,4,10,4,0,0,35,29,2,3,35,64,1,0,0,125,55,48,53.4
Naby Keïta,gn GUI,MF,RB Leipzig,22,1995,21.8,995,1242,80.1,14152,4723,572,659,86.8,295,364,81.0,63,97,64.9,5,4.2,3.4,+0.8,38,101,39,5,148,65,39.5,25,33,7,17,43,26,26,3,23,36,101,18,0,Matches,1242,1190,41,33,12,0,18,3,5,0,3,0,995,11,34,8,2,1,52,60,0,18,36,48,0,0,0,190,14,22,38.9
Marc-Oliver Kempf,de GER,DF,Freiburg,22,1995,10.0,412,516,79.8,8957,3502,101,112,90.2,240,273,87.9,68,123,55.3,1,1.0,0.4,0.0,4,28,2,0,35,13,62.5,9,4,0,5,8,3,7,7,0,17,30,52,0,Matches,516,492,22,20,0,12,0,2,0,0,0,0,412,2,4,1,0,0,7,5,0,0,17,12,0,1,0,43,23,16,59.0
Ryan Kent,eng ENG,"FW,MF",Freiburg,20,1996,2.7,42,63,66.7,631,147,24,32,75.0,13,24,54.2,4,5,80.0,0,0.1,0.1,-0.1,1,8,0,0,6,4,40.0,2,1,1,2,5,3,6,0,6,1,5,1,0,Matches,63,63,0,0,0,1,5,0,0,0,0,0,42,0,4,1,0,0,3,3,0,5,1,3,0,0,0,10,1,12,7.7
Rani Khedira,de GER,"MF,DF",Augsburg,23,1994,25.3,641,860,74.5,11202,4074,237,305,77.7,318,379,83.9,51,103,49.5,1,0.8,1.1,+0.2,10,48,11,2,84,62,70.2,25,28,9,33,47,14,41,18,23,36,98,96,0,Matches,860,837,22,20,0,3,8,2,0,0,0,0,641,1,20,8,0,0,48,32,1,8,36,47,0,0,0,88,55,61,47.4
Stefan Kießling,de GER,"DF,MF",Leverkusen,33,1984,0.9,15,27,55.6,180,31,10,18,55.6,4,6,66.7,0,1,0.0,0,0.2,0.1,-0.2,2,1,0,0,0,0,,0,0,0,0,0,0,2,0,2,0,0,1,0,Matches,27,27,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,1,3,1,0,0,0,0,0,0,3,7,6,53.8
Joshua Kimmich,de GER,DF,Bayern Munich,22,1995,25.9,1822,2169,84.0,35601,10321,695,750,92.7,836,967,86.5,272,394,69.0,10,6.2,6.3,+3.8,53,137,52,22,176,32,52.6,14,13,5,20,38,18,26,5,21,20,52,40,0,Matches,2169,1882,282,53,1,24,212,160,69,13,49,2,1822,5,34,1,0,0,17,52,2,212,20,23,1,1,0,140,20,18,52.6
Felix Klaus,de GER,"MF,FW",Hannover 96,24,1992,22.0,490,709,69.1,7426,2512,259,335,77.3,153,209,73.2,36,83,43.4,2,2.1,3.3,-0.1,32,26,14,4,55,48,46.0,20,21,7,23,50,27,29,4,25,8,56,28,0,Matches,709,629,78,23,1,7,73,28,27,12,13,2,490,2,37,5,0,0,28,59,7,73,8,38,4,0,0,83,22,48,31.4
Tim Kleindienst,de GER,"FW,DF",Freiburg,21,1995,12.6,203,369,55.0,2956,775,109,184,59.2,67,110,60.9,10,27,37.0,3,2.3,1.4,+0.7,8,19,10,1,31,22,23.5,6,12,4,4,17,13,17,3,14,6,28,21,0,Matches,369,357,9,0,0,0,9,1,0,0,0,0,203,3,25,2,0,0,31,13,4,9,6,15,0,0,0,27,83,72,53.5
Lukas Klostermann,de GER,DF,RB Leipzig,21,1996,24.3,922,1201,76.8,13349,4720,562,662,84.9,292,385,75.8,44,76,57.9,0,1.6,1.8,-1.6,15,56,12,6,80,56,75.7,34,18,4,28,37,9,33,6,27,33,89,79,0,Matches,1201,964,232,11,2,3,41,221,0,0,0,0,922,5,45,2,0,0,13,16,1,41,33,41,0,0,0,106,41,34,54.7
Lukas Klünter,de GER,"DF,FW",Köln,21,1996,14.8,347,526,66.0,5866,2312,165,208,79.3,145,204,71.1,31,71,43.7,0,1.2,1.1,-1.2,13,20,12,7,41,25,66.7,16,8,1,16,24,8,11,2,9,13,38,28,1,Matches,526,423,102,4,0,3,53,97,0,0,0,0,347,1,37,6,0,0,22,18,5,53,13,20,0,1,0,55,17,12,58.6
Robin Knoche,de GER,DF,Wolfsburg,25,1992,23.4,1215,1432,84.8,27253,10359,268,311,86.2,700,779,89.9,240,321,74.8,2,0.4,0.6,+1.6,3,75,2,0,91,34,71.4,26,8,0,25,35,10,36,24,12,25,59,89,1,Matches,1432,1393,37,33,0,11,3,4,0,0,0,0,1215,2,8,2,0,0,18,11,1,3,25,20,1,1,1,77,66,37,64.1
Törles Knöll,de GER,"MF,FW",Hamburger SV,19,1997,0.2,1,3,33.3,5,0,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,Matches,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Robin Koch,de GER,"MF,DF",Freiburg,21,1996,21.3,758,977,77.6,15376,5209,222,280,79.3,424,485,87.4,101,182,55.5,1,1.0,0.9,0.0,6,53,2,0,36,34,55.6,21,13,0,10,18,8,27,11,16,35,69,67,0,Matches,977,963,13,13,0,5,1,0,0,0,0,0,758,1,18,3,0,0,31,16,0,1,35,24,0,0,0,106,78,58,57.4
Kenan Kodro,ba BIH,"FW,DF",Mainz 05,23,1993,2.6,53,69,76.8,882,62,25,37,67.6,14,17,82.4,9,10,90.0,0,0.2,0.2,-0.2,4,2,2,0,4,1,,0,1,0,0,0,0,1,0,1,3,4,0,0,Matches,69,63,6,0,0,0,1,0,0,0,0,0,53,0,2,0,0,0,2,2,1,1,3,1,0,0,0,5,8,6,57.1
Dominik Kohr,de GER,MF,Leverkusen,23,1994,18.5,780,946,82.5,13086,3718,390,447,87.2,304,355,85.6,71,103,68.9,1,1.3,2.0,-0.3,18,82,12,0,116,49,61.0,20,25,4,25,41,16,39,5,34,30,79,24,0,Matches,946,912,31,30,4,9,3,1,0,0,0,0,780,3,25,9,1,1,45,23,1,3,30,26,0,0,0,86,22,36,37.9
Ibrahima Konaté,fr FRA,DF,RB Leipzig,18,1999,13.6,527,651,81.0,9792,4235,209,239,87.4,264,303,87.1,47,100,47.0,0,0.5,0.4,-0.5,3,39,1,0,51,32,78.3,20,12,0,18,23,5,14,3,11,20,52,66,0,Matches,651,631,20,20,1,2,0,0,0,0,0,0,527,0,2,1,0,0,13,10,0,0,20,25,0,1,0,58,36,19,65.5
Yevhen Konoplyanka,ua UKR,"FW,MF",Schalke 04,27,1989,17.4,331,503,65.8,5337,1165,187,234,79.9,110,165,66.7,30,76,39.5,4,4.6,3.7,-0.6,31,18,20,9,50,11,27.3,3,4,4,3,11,8,18,1,17,5,16,6,0,Matches,503,456,44,17,0,3,107,1,24,7,16,1,331,3,28,1,0,0,23,22,4,107,5,9,1,0,0,56,8,21,27.6
Julian Korb,de GER,"DF,MF",Hannover 96,25,1992,26.0,814,1199,67.9,14609,8368,344,427,80.6,376,516,72.9,78,177,44.1,1,1.6,2.7,-0.6,22,82,28,13,119,52,54.4,27,19,6,37,68,31,30,2,28,22,74,77,0,Matches,1199,872,320,14,0,2,64,306,0,0,0,0,814,7,58,8,0,0,41,15,2,64,22,41,0,0,0,104,13,27,32.5
Filip Kostić,rs SRB,"FW,MF",Hamburger SV,24,1992,27.1,459,796,57.7,7436,2555,235,329,71.4,149,260,57.3,45,111,40.5,1,3.2,3.1,-2.2,29,30,29,19,59,48,48.8,16,21,11,20,41,21,42,1,41,10,58,12,0,Matches,796,729,60,4,1,10,125,28,24,8,13,0,459,7,57,2,0,0,35,40,8,125,10,38,0,1,0,111,30,64,31.9
Vincent Koziello,fr FRA,MF,Köln,21,1995,8.8,470,520,90.4,7825,1666,233,252,92.5,192,207,92.8,32,37,86.5,0,0.4,0.5,-0.4,6,30,6,2,42,28,47.6,6,21,1,10,21,11,9,0,9,10,38,5,1,Matches,520,510,9,8,0,3,4,1,0,0,0,0,470,1,9,3,0,0,16,14,0,4,10,21,0,0,0,44,5,3,62.5
Thomas Kraft,de GER,GK,Hertha BSC,29,1988,3.0,83,137,60.6,2896,2437,4,4,100.0,37,38,97.4,41,93,44.1,0,0.0,0.0,0.0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches,137,95,41,13,0,0,0,0,0,0,0,0,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,26,1991,24.8,687,945,72.7,11446,3377,328,379,86.5,234,305,76.7,81,179,45.3,6,6.0,7.1,0.0,52,70,42,13,114,8,37.5,4,3,1,3,8,5,15,0,15,6,14,7,0,Matches,945,827,111,25,3,8,139,14,63,25,30,0,687,7,29,1,0,0,10,28,12,139,6,6,0,0,0,65,6,18,25.0
Christoph Kramer,de GER,MF,Gladbach,26,1991,23.9,1340,1535,87.3,22143,5961,646,704,91.8,546,613,89.1,106,147,72.1,0,0.5,0.7,-0.5,13,136,10,0,142,89,51.3,43,34,12,39,76,37,29,4,25,43,132,37,1,Matches,1535,1452,78,74,0,14,7,4,0,0,0,0,1340,5,23,5,0,0,45,27,0,7,43,70,0,1,0,143,19,23,45.2
Max Kruse,de GER,FW,Werder Bremen,29,1988,27.3,1035,1389,74.5,20160,3837,409,509,80.4,439,536,81.9,167,266,62.8,6,5.1,4.2,+0.9,58,91,38,9,140,17,22.7,3,10,4,5,22,17,9,0,9,11,28,4,1,Matches,1389,1193,184,36,3,30,119,23,70,25,32,2,1035,12,42,2,0,0,14,31,8,119,11,12,0,0,0,94,19,42,31.1
Lukas Kübler,de GER,"DF,MF",Freiburg,24,1992,12.8,383,543,70.5,7572,3046,127,157,80.9,199,258,77.1,52,117,44.4,0,0.1,0.3,-0.1,3,24,7,2,41,31,56.5,16,15,0,13,23,10,15,6,9,18,49,41,0,Matches,543,425,118,8,0,3,14,110,0,0,0,0,383,0,10,3,0,0,9,13,0,14,18,19,0,0,0,49,23,13,63.9
Filip Kusić,rs SRB,"DF,MF",Köln,21,1996,0.2,1,1,100.0,17,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Konrad Laimer,at AUT,"DF,MF",RB Leipzig,20,1997,14.9,590,755,78.1,8947,3666,326,377,86.5,203,258,78.7,37,68,54.4,2,1.7,2.2,+0.3,13,60,13,5,86,57,49.1,31,22,4,28,57,29,37,2,35,11,68,32,0,Matches,755,625,127,9,3,4,13,118,0,0,0,0,590,3,20,2,0,0,33,6,0,13,11,39,0,0,0,62,21,22,48.8
Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,10.6,489,565,86.5,10904,4235,107,122,87.7,286,307,93.2,93,128,72.7,0,0.0,0.2,0.0,1,28,0,0,41,15,61.1,9,6,0,11,18,7,7,4,3,21,36,58,1,Matches,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,2,0,0,11,14,1,0,21,12,0,0,0,27,23,13,63.9
Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,10.6,489,565,86.5,10904,4235,107,122,87.7,286,307,93.2,93,128,72.7,0,0.0,0.2,0.0,1,28,0,0,41,15,61.1,9,6,0,11,18,7,7,4,3,21,36,58,1,Matches,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,2,0,0,3,5,0,0,8,3,0,0,0,10,8,3,72.7
Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,10.6,489,565,86.5,10904,4235,107,122,87.7,286,307,93.2,93,128,72.7,0,0.0,0.2,0.0,1,28,0,0,41,15,61.1,9,6,0,11,18,7,7,4,3,21,36,58,1,Matches,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,2,0,0,11,14,1,0,21,12,0,0,0,27,23,13,63.9
Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,10.6,489,565,86.5,10904,4235,107,122,87.7,286,307,93.2,93,128,72.7,0,0.0,0.2,0.0,1,28,0,0,41,15,61.1,9,6,0,11,18,7,7,4,3,21,36,58,1,Matches,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,2,0,0,3,5,0,0,8,3,0,0,0,10,8,3,72.7
Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,10.6,489,565,86.5,10904,4235,107,122,87.7,286,307,93.2,93,128,72.7,0,0.0,0.2,0.0,1,28,0,0,41,7,100.0,4,3,0,4,4,0,7,5,2,8,15,18,0,Matches,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,2,0,0,11,14,1,0,21,12,0,0,0,27,23,13,63.9
Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,10.6,489,565,86.5,10904,4235,107,122,87.7,286,307,93.2,93,128,72.7,0,0.0,0.2,0.0,1,28,0,0,41,7,100.0,4,3,0,4,4,0,7,5,2,8,15,18,0,Matches,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,2,0,0,3,5,0,0,8,3,0,0,0,10,8,3,72.7
Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,10.6,489,565,86.5,10904,4235,107,122,87.7,286,307,93.2,93,128,72.7,0,0.0,0.2,0.0,1,28,0,0,41,7,100.0,4,3,0,4,4,0,7,5,2,8,15,18,0,Matches,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,2,0,0,11,14,1,0,21,12,0,0,0,27,23,13,63.9
Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,10.6,489,565,86.5,10904,4235,107,122,87.7,286,307,93.2,93,128,72.7,0,0.0,0.2,0.0,1,28,0,0,41,7,100.0,4,3,0,4,4,0,7,5,2,8,15,18,0,Matches,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,2,0,0,3,5,0,0,8,3,0,0,0,10,8,3,72.7
Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,4.6,184,214,86.0,3824,1332,47,53,88.7,113,128,88.3,22,29,75.9,0,0.1,0.1,-0.1,1,6,1,0,17,15,61.1,9,6,0,11,18,7,7,4,3,21,36,58,1,Matches,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,2,0,0,11,14,1,0,21,12,0,0,0,27,23,13,63.9
Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,4.6,184,214,86.0,3824,1332,47,53,88.7,113,128,88.3,22,29,75.9,0,0.1,0.1,-0.1,1,6,1,0,17,15,61.1,9,6,0,11,18,7,7,4,3,21,36,58,1,Matches,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,2,0,0,3,5,0,0,8,3,0,0,0,10,8,3,72.7
Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,4.6,184,214,86.0,3824,1332,47,53,88.7,113,128,88.3,22,29,75.9,0,0.1,0.1,-0.1,1,6,1,0,17,15,61.1,9,6,0,11,18,7,7,4,3,21,36,58,1,Matches,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,2,0,0,11,14,1,0,21,12,0,0,0,27,23,13,63.9
Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,4.6,184,214,86.0,3824,1332,47,53,88.7,113,128,88.3,22,29,75.9,0,0.1,0.1,-0.1,1,6,1,0,17,15,61.1,9,6,0,11,18,7,7,4,3,21,36,58,1,Matches,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,2,0,0,3,5,0,0,8,3,0,0,0,10,8,3,72.7
Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,4.6,184,214,86.0,3824,1332,47,53,88.7,113,128,88.3,22,29,75.9,0,0.1,0.1,-0.1,1,6,1,0,17,7,100.0,4,3,0,4,4,0,7,5,2,8,15,18,0,Matches,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,2,0,0,11,14,1,0,21,12,0,0,0,27,23,13,63.9
Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,4.6,184,214,86.0,3824,1332,47,53,88.7,113,128,88.3,22,29,75.9,0,0.1,0.1,-0.1,1,6,1,0,17,7,100.0,4,3,0,4,4,0,7,5,2,8,15,18,0,Matches,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,2,0,0,3,5,0,0,8,3,0,0,0,10,8,3,72.7
Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,4.6,184,214,86.0,3824,1332,47,53,88.7,113,128,88.3,22,29,75.9,0,0.1,0.1,-0.1,1,6,1,0,17,7,100.0,4,3,0,4,4,0,7,5,2,8,15,18,0,Matches,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,2,0,0,11,14,1,0,21,12,0,0,0,27,23,13,63.9
Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,4.6,184,214,86.0,3824,1332,47,53,88.7,113,128,88.3,22,29,75.9,0,0.1,0.1,-0.1,1,6,1,0,17,7,100.0,4,3,0,4,4,0,7,5,2,8,15,18,0,Matches,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,2,0,0,3,5,0,0,8,3,0,0,0,10,8,3,72.7
Danny Latza,de GER,MF,Mainz 05,27,1989,26.1,984,1263,77.9,17910,5000,404,489,82.6,441,522,84.5,116,184,63.0,1,2.2,2.2,-1.2,35,101,15,2,139,67,45.2,28,33,6,33,73,40,43,8,35,26,93,47,1,Matches,1263,1188,72,50,0,7,33,5,17,9,8,0,984,3,21,7,0,0,53,69,1,33,26,48,0,0,0,127,61,55,52.6
Valentino Lazaro,at AUT,"MF,FW",Hertha BSC,21,1996,20.7,477,694,68.7,7422,2238,251,306,82.0,164,219,74.9,38,108,35.2,5,3.9,3.0,+1.1,29,38,22,11,59,33,48.4,11,12,10,15,31,16,35,2,33,15,48,32,0,Matches,694,605,85,27,0,2,82,17,32,6,21,2,477,4,28,4,0,0,18,14,5,82,15,28,0,0,0,77,20,42,32.3
Mathew Leckie,au AUS,"FW,MF",Hertha BSC,26,1991,20.6,549,793,69.2,9216,2349,260,353,73.7,216,293,73.7,50,80,62.5,1,1.6,1.6,-0.6,17,51,19,5,77,35,57.1,16,15,4,20,35,15,26,3,23,19,54,32,1,Matches,793,775,18,2,2,5,28,16,0,0,0,0,549,0,36,3,0,0,44,45,1,28,19,30,0,0,0,99,94,82,53.4
Matthias Lehmann,de GER,MF,Köln,34,1983,16.8,682,847,80.5,12938,5595,269,305,88.2,314,370,84.9,82,135,60.7,0,0.1,0.6,-0.1,3,105,7,1,119,33,58.6,14,18,1,17,29,12,15,7,8,26,59,24,1,Matches,847,807,35,30,0,9,3,3,0,0,0,0,682,5,9,3,0,0,11,8,0,3,26,23,0,1,0,71,9,13,40.9
Bernd Leno,de GER,GK,Leverkusen,25,1992,33.0,875,1245,70.3,25960,18891,109,109,100.0,446,452,98.7,317,679,46.7,0,0.2,0.1,-0.2,3,20,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,1,1,11,2,Matches,1245,918,327,77,0,3,0,0,0,0,0,0,875,0,2,1,0,0,0,9,0,0,1,0,0,0,0,56,10,1,90.9
Robert Lewandowski,pl POL,FW,Bayern Munich,28,1988,24.1,472,613,77.0,7147,1289,254,320,79.4,173,201,86.1,26,37,70.3,2,2.4,2.5,-0.4,21,41,18,0,71,5,0.0,1,1,3,0,3,3,6,0,6,5,10,10,0,Matches,613,591,18,4,1,2,15,0,0,0,0,0,472,4,26,1,0,0,37,37,25,15,5,3,2,0,0,51,49,61,44.5
